Designator,Mid X,Mid Y,Rotation,Layer
BOOT ,167.1,-106.98,180.0,top
C1,180.46,-120.45,270.0,top
C10,186.59,-101.845,0.0,top
C11,186.59,-103.895,0.0,top
C12,186.64,-99.995,0.0,top
C13,186.59,-105.945,0.0,top
C14,181.36,-104.745,180.0,top
C15,177.3125,-107.5025,180.0,top
C16,175.0325,-112.2525,180.0,top
C17,172.12,-106.39,270.0,top
C18,173.1,-106.39,270.0,top
C19,173.53,-114.07,90.0,top
C2,185.56,-114.65,0.0,top
C20,174.055,-115.645,270.0,top
C21,160.03,-127.12,0.0,top
C22,158.53,-127.13,0.0,top
C23,166.175,-109.94,90.0,top
C24,164.1,-109.965,90.0,top
C25,173.635,-119.63,0.0,top
C26,162.5,-126.06,270.0,top
C27,157.43,-121.06,270.0,top
C28,156.81,-118.15,0.0,top
C29,165.1,-109.665,90.0,top
C3,186.72,-118.12,90.0,top
C30,163.86,-126.31,180.0,top
C31,173.8,-118.63,0.0,top
C32,161.73,-125.33,270.0,top
C33,161.71,-109.75,315.0,top
C34,158.2,-113.39,135.0,top
C35,163.795,-108.37,0.0,top
C36,163.795,-105.82,0.0,top
C37,163.83,-105.01,0.0,top
C38,188.73,-101.585,90.0,top
C4,186.06,-116.35,270.0,top
C40,160.24,-106.08,270.0,top
C41,163.51,-102.18,90.0,top
C5,180.46,-118.3,90.0,top
C6,182.46,-114.65,180.0,top
C7,186.44,-111.215,0.0,top
C8,186.44,-109.165,0.0,top
C9,186.44,-113.015,0.0,top
CARD1,172.69,-96.01,180.0,top
D1,182.69,-122.2775,270.0,top
D2,183.93,-102.15,0.0,top
L4,157.07,-116.15,270.0,top
L5,178.41,-117.5,270.0,top
L6,182.41,-111.2,0.0,top
L7,172.76,-109.44,0.0,top
Q1,182.62,-100.7,90.0,top
R1,174.065,-121.5625,180.0,top
R10,175.33,-116.17,270.0,top
R11,170.61,-112.325,90.0,top
R12,183.855,-104.745,0.0,top
R13,182.61,-104.395,270.0,top
R14,177.7325,-112.0025,180.0,top
R15,177.7325,-113.3525,0.0,top
R16,177.05,-103.69,270.0,top
R17,178.15,-103.69,270.0,top
R18,170.45,-103.69,270.0,top
R19,171.55,-103.69,270.0,top
R2,177.81,-121.5125,0.0,top
R20,172.65,-103.69,270.0,top
R21,174.85,-103.69,270.0,top
R22,163.74,-106.98,270.0,top
R23,184.32,-100.76,270.0,top
R24,188.74,-100.1,90.0,top
R25,163.26,-103.48,180.0,top
R26,163.275,-104.24,180.0,top
R3,186.9,-120.21,0.0,top
R4,186.9,-120.96,0.0,top
R5,186.47,-122.07,90.0,top
R6,187.27,-122.07,90.0,top
R7,181.8,-122.07,90.0,top
R8,186.89,-119.46,0.0,top
R9,176.655,-115.095,270.0,top
RESET,167.04,-103.64,180.0,top
RF1,190.76,-103.99,180.0,top
TP10,190.59,-113.42,0.0,top
TP11,190.6,-116.35,0.0,top
TP12,190.6,-119.27,0.0,top
TP13,189.79,-109.47,270.0,top
TP14,190.59,-122.19,0.0,top
TP6,184.22,-126.13,90.0,top
TP7,187.14,-126.12,90.0,top
TP8,190.05,-126.12,90.0,top
U1,183.66,-118.85,0.0,top
U2,158.65,-125.22,0.0,top
U3,165.1,-118.115,225.0,top
U4,175.03,-114.02,90.0,top
U5,182.46,-106.87,180.0,top
U6,177.1325,-109.7025,180.0,top
U7,187.08,-93.91,0.0,top
U8,160.595,-103.525001,180.0,top
USB1,175.71,-125.18,0.0,top
X1,159.37,-110.95,225.0,top
X2,161.76,-107.095,90.0,top
